mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC logCPM PValue FDR tw_dis chr start end strand de gene
scaffold_1_157386_157461_+ 35.1502365071726 31.8969541484903 30.8584895912461 17.3955721764274 13.2536396644877 19.9209793065561 21.411166665884 18.1683373540318 -1.08463758297144 4.88668543737904 0.00191527798100401 0.00641977474672937 0.0191461566845284 scaffold_1 157386 157461 + 1 JGI_V11_219913
scaffold_1_162014_162063_+ 7.95169016819962 8.03420279501791 8.14956435918423 1.38777878078145e-17 1.38777878078145e-17 7.4290730698792 5.30007717754637 7.75082721530443 -6.07747909490482 3.13712240822697 1.43064745457092e-05 8.15693338739959e-05 0.0256009977156645 scaffold_1 162014 162063 + 1 JGI_V11_299986
scaffold_1_338755_338789_+ 26.9113448656019 37.4637394191239 32.2620476196869 1.38777878078145e-17 1.38777878078145e-17 9.29966335263033 9.13747117853099 12.1668438068501 -8.06211425506626 4.40006256769064 1.01656318880224e-17 4.29529583052831e-16 0.0239634012101414 scaffold_1 338755 338789 + 1 JGI_V11_309510
scaffold_1_387210_387364_+ 47.7802125671042 50.33008457144 55.8348993731061 26.6339309668623 22.2179596922421 25.8665152344054 23.0723197861671 27.351332680624 -1.06721239730602 5.41938307772398 0.000285214057548431 0.00116359565224987 0.0175611439225246 scaffold_1 387210 387364 + 1 JGI_V11_219940
scaffold_1_424111_424137_+ 7.99837634162272 10.0482017216011 8.91715721559666 1.38777878078145e-17 1.38777878078145e-17 6.60735819010155 9.1795138332125 0.0713767921224786 -6.23514370073258 3.10697352419009 6.08637914858638e-06 3.76992693856783e-05 0.0374323806732364 scaffold_1 424111 424137 + 1 JGI_V11_299637
scaffold_1_517723_517732_+ 12.772176070111 9.28512468150637 18.1358460885281 30.4093106489306 47.5128437034133 193.692200128145 178.127102028395 216.552286089109 1.53169838298726 6.68203262820309 7.08246095692887e-06 4.28779428801466e-05 0.0251222491584661 scaffold_1 517723 517732 + 1 JGI_V11_309533
scaffold_1_562554_562716_+ 989.376257765721 809.438897140732 676.477028449709 1526.9699397093 1687.28509910823 943.934740340469 684.578159815605 793.692327235505 0.961729982450734 10.1895611606488 8.91348388187138e-06 5.28016325591019e-05 0.026915402672483 scaffold_1 562554 562716 + 1 JGI_V11_300012
scaffold_1_563101_563167_+ 281.044992676405 201.569696078693 168.938115464733 493.198796743488 501.812547681424 240.296301698826 184.364416694748 171.25372295904 1.19533853499236 8.34118210238741 1.5479119806334e-06 1.10380866238024e-05 0.0336259214430674 scaffold_1 563101 563167 + 1 JGI_V11_300012
scaffold_1_563319_563394_+ 87.9455342593079 59.7736100626543 54.696418034404 135.372416254512 134.856570427837 74.9047216971482 70.9381199917112 32.1004331493763 1.00050192643641 6.5797020873326 0.00272018006368228 0.00875184631547447 0.0554181268658891 scaffold_1 563319 563394 + 1 JGI_V11_300012
scaffold_1_563543_563715_+ 99.5284345863019 68.9304013346979 63.1921455276171 141.356393626605 175.375044924749 61.8496258981564 68.3816778206715 64.2085578560519 1.03503236907606 6.76677276940539 1.76760923439009e-05 9.846589077568e-05 0.0254527643289852 scaffold_1 563543 563715 + 1 JGI_V11_300012
scaffold_1_563871_564079_+ 111.917836842332 81.5522956759098 123.974396476382 180.530793152985 210.570333732425 81.3680578199723 68.8164444609642 87.0674858404821 0.885370568167097 7.10985425339868 0.000109795320956591 0.000497794191140232 0.0237411011694269 scaffold_1 563871 564079 + 1 JGI_V11_300012
scaffold_1_642134_642148_+ 89.6009649525388 106.947862053882 104.553364507916 51.3444429878029 57.0026448040458 113.688396121478 75.4563330160383 82.7672166899984 -0.88845396112054 6.64947042990621 0.000579109469150514 0.0022086410952658 0.0226229706911098 scaffold_1 642134 642148 + 1 JGI_V11_299809
scaffold_1_263026_263044_- 285.406583127337 321.27019494349 273.082170820734 545.761435306015 683.84520379168 380.490549227408 400.455514544826 363.399228113781 1.06749798764626 8.87499149929623 3.42979909564426e-10 5.13612414572727e-09 0.0147912583198109 scaffold_1 263026 263044 - 1 JGI_V11_39582
scaffold_1_342702_342796_- 47.3493303951288 46.6436297244827 44.1635943471491 24.4172109437664 25.6330933761873 36.9172649206403 37.8643834115776 47.0880232173401 -0.877209039820996 5.55473491287507 0.00286842133946186 0.00918237488203085 0.0171408993557067 scaffold_1 342702 342796 - 1 JGI_V11_186885
scaffold_1_342702_342796_-.1 47.3493303951288 46.6436297244827 44.1635943471491 24.4172109437664 25.6330933761873 36.9172649206403 37.8643834115776 47.0880232173401 -0.877209039820996 5.55473491287507 0.00286842133946186 0.00918237488203085 0.0171408993557067 scaffold_1 342702 342796 - 1 JGI_V11_309511
scaffold_1_617236_617271_- 6.08495509957305 6.92429705025719 7.4786897747695 1.38777878078145e-17 1.38777878078145e-17 6.01506842542713 6.31703211494846 0.0574488611283384 -5.84502801207744 2.83736731991694 9.98741774699488e-05 0.000457704207550175 0.0328380607277279 scaffold_1 617236 617271 - 1 JGI_V11_93993
